objective,alpha,n,valid_replications,oos_mean,oos_sample_sd,jaccard_mean,jaccard_min,jaccard_max,certified,max_final_gap
Expected,0.01,100,5,135.7882,1.8329523179832006,0.25047619047619046,0.0,0.6,5,0.00018918
Expected,0.01,200,5,133.3774,0.6609427357948714,0.5599999999999999,0.3333333333333333,1.0,5,0.00069768
Expected,0.01,400,5,133.27960000000002,0.4815877905429129,0.5066666666666666,0.3333333333333333,1.0,5,0.00034321
Expected,0.02,100,5,94.952,2.9946064015158944,0.40438228438228435,0.23076923076923078,0.6,5,0.0008742
Expected,0.02,200,5,91.867,1.2703094111278568,0.5765656565656565,0.3333333333333333,0.7777777777777778,5,0.00076896
Expected,0.02,400,5,91.72879999999999,1.2418289737318926,0.6577777777777778,0.6,1.0,5,0.00098173
Expected,0.03,100,5,76.3882,0.48252792665295646,0.4298452012383901,0.2631578947368421,0.6,5,0.00094881
Expected,0.03,200,5,74.1122,0.8622210853371671,0.5149579831932773,0.4117647058823529,0.7142857142857143,5,0.00099527
Expected,0.03,400,5,73.997,0.5922959564271909,0.47716440422322776,0.3333333333333333,0.8461538461538461,5,0.0009996
CVaR,0.01,100,5,271.774,7.496741292054835,0.3028571428571428,0.14285714285714285,0.6,5,0.00094687
CVaR,0.01,200,5,270.906,5.04902267770706,0.3180952380952381,0.14285714285714285,0.6,5,0.00096318
CVaR,0.01,400,5,267.836,1.1315829620491777,0.5599999999999999,0.3333333333333333,1.0,5,0.00097499
CVaR,0.02,100,5,204.004,3.5773565659576003,0.08498168498168499,0.0,0.23076923076923078,4,0.0213493
CVaR,0.02,200,5,194.034,3.6643730705265214,0.26966366966366967,0.14285714285714285,0.45454545454545453,5,0.00099891
CVaR,0.02,400,5,192.756,3.055017184894391,0.2247219447219447,0.06666666666666667,0.45454545454545453,2,0.04833086
CVaR,0.03,100,5,161.192,9.794713880456131,0.3464396284829721,0.2631578947368421,0.5,0,0.0538576
CVaR,0.03,200,5,149.248,3.4251525513471672,0.3138080495356037,0.2,0.6,1,0.0340494
CVaR,0.03,400,5,147.578,2.7113225555068157,0.38415892672858615,0.2631578947368421,0.5,0,0.09443657
MeanCVaR,0.01,100,5,206.1792,5.103617094767198,0.26190476190476186,0.0,0.3333333333333333,5,0.00099778
MeanCVaR,0.01,200,5,202.171,1.1159705977309546,0.4057142857142857,0.14285714285714285,1.0,5,0.00093535
MeanCVaR,0.01,400,5,203.2566,1.5446273579734462,0.52,0.3333333333333333,1.0,5,0.00097847
MeanCVaR,0.02,100,5,155.4184,4.8858630046287645,0.18684648684648683,0.0,0.45454545454545453,5,0.00099951
MeanCVaR,0.02,200,5,144.22209999999998,2.819008411658255,0.42029526029526026,0.23076923076923078,0.7777777777777778,5,0.00099904
MeanCVaR,0.02,400,5,143.43540000000002,1.3950391750771776,0.5854545454545454,0.3333333333333333,0.7777777777777778,4,0.01887481
MeanCVaR,0.03,100,5,119.2624,5.926906459106636,0.3185684800235884,0.14285714285714285,0.5,5,0.00099993
MeanCVaR,0.03,200,5,113.39869999999999,1.7270366455289798,0.42651186790505674,0.2631578947368421,0.6,5,0.0009997
MeanCVaR,0.03,400,5,112.22659999999999,0.7599800490802384,0.66,0.5,0.7142857142857143,1,0.04408952
