objective,method,alpha,train_count,optimal,total,mean_gap_pct,max_gap_pct,mean_time_s,sample_sd_time_s
CVaR,Standard,all,200,5,15,10.015926200000001,23.239545,1213.4917601353334,860.8715767298938
CVaR,Standard,all,400,5,15,12.156817,27.460047999999997,1217.159762116,859.6836778755095
CVaR,Standard,0.01,all,15,15,0.08386773333333333,0.09909599999999999,29.696203224,25.249941015115006
CVaR,Standard,0.01,100,5,5,0.0786216,0.09909599999999999,8.850425102,5.637667996269841
CVaR,Standard,0.01,200,5,5,0.085181,0.093819,37.531746878,30.727218415895393
CVaR,Standard,0.01,400,5,5,0.0878006,0.09860100000000001,42.706437692,20.591322418613316
CVaR,Standard,0.02,all,1,15,8.6875932,15.388584,1796.4187551493333,23.09578233728023
CVaR,Standard,0.02,100,1,5,5.6175538,12.758944999999999,1783.203241438,39.089913239789
CVaR,Standard,0.02,200,0,5,8.062165199999999,12.082685999999999,1801.476313874,1.0146172176088626
CVaR,Standard,0.02,400,0,5,12.3830606,15.388584,1804.576710136,2.1038382579530013
CVaR,Standard,0.03,all,0,15,23.441570666666667,28.194755999999998,1802.1520780186665,1.919021263409111
CVaR,Standard,0.03,100,0,5,24.4246898,28.194755999999998,1800.7928758819999,0.38402332665702027
CVaR,Standard,0.03,200,0,5,21.9004324,23.239545,1801.467219654,0.8353207339984743
CVaR,Standard,0.03,400,0,5,23.9995898,27.460047999999997,1804.19613852,1.9813400862893848
CVaR,Coverage-exp,all,all,19,45,5.062441577777777,15.898182,1101.0414650366668,854.425679051276
CVaR,Coverage-exp,all,100,8,15,3.437953,9.100976,925.9869032766667,865.3558008326694
CVaR,Coverage-exp,all,200,6,15,4.798618066666667,12.000155,1142.9783812053333,859.9933833184089
CVaR,Coverage-exp,all,400,5,15,6.9507536666666665,15.898182,1234.159110628,867.3459510851822
CVaR,Coverage-exp,0.01,all,15,15,0.0714702,0.099658,39.61386235,28.44791956962299
CVaR,Coverage-exp,0.01,100,5,5,0.0670516,0.098037,10.48943948,3.23200425826488
CVaR,Coverage-exp,0.01,200,5,5,0.07342660000000001,0.09824300000000001,59.060351052,32.95962320181407
CVaR,Coverage-exp,0.01,400,5,5,0.0739324,0.099658,49.291796518,9.253994228084135
CVaR,Coverage-exp,0.02,all,4,15,4.701554866666666,9.605982000000001,1446.5052889566666,639.6925787339699
CVaR,Coverage-exp,0.02,100,3,5,2.2216956,6.918181,960.185790782,775.1958848416613
CVaR,Coverage-exp,0.02,200,1,5,3.8903790000000003,6.921401,1554.763274286,584.9473012974357
CVaR,Coverage-exp,0.02,400,0,5,7.99259,9.605982000000001,1824.5668018019999,13.597310426983373
CVaR,Coverage-exp,0.03,all,0,15,10.414299666666667,15.898182,1817.0052438033333,14.665715216965193
CVaR,Coverage-exp,0.03,100,0,5,8.0251118,9.100976,1807.285479568,3.5739365309749105
CVaR,Coverage-exp,0.03,200,0,5,10.4320486,12.000155,1815.111518278,7.101085000962947
CVaR,Coverage-exp,0.03,400,0,5,12.7857386,15.898182,1828.618733564,19.960619539445812
CVaR,Path-exp,all,all,21,45,3.5139104,12.402051,1003.4902824244444,872.4494870328492
CVaR,Path-exp,all,100,9,15,2.1787503333333333,8.101653,753.7765478066667,887.9982778577233
CVaR,Path-exp,all,200,7,15,2.9305142666666666,8.954189,1032.9152609,869.6394591462667
CVaR,Path-exp,all,400,5,15,5.432466600000001,12.402051,1223.7790385666667,853.0514881810182
CVaR,Path-exp,0.01,all,15,15,0.06852533333333333,0.09993700000000001,29.038282744666667,39.612404322049755
CVaR,Path-exp,0.01,100,5,5,0.0464658,0.088425,6.282050772,1.8338794879888476
CVaR,Path-exp,0.01,200,5,5,0.0687108,0.097005,21.763206958,16.065002097910188
CVaR,Path-exp,0.01,400,5,5,0.0903994,0.09993700000000001,59.069590504000004,58.22144172412679
CVaR,Path-exp,0.02,all,6,15,3.0738644666666666,8.23262,1176.5188851333332,808.1140281091177
CVaR,Path-exp,0.02,100,4,5,1.1811966,5.513348,452.385209676,756.7734163790376
CVaR,Path-exp,0.02,200,2,5,1.5399178,3.881315,1271.758289146,742.8127201315649
CVaR,Path-exp,0.02,400,0,5,6.500479,8.23262,1805.413156578,2.6620924867826115
CVaR,Path-exp,0.03,all,0,15,7.3993414,12.402051,1804.9136793953332,3.0107295620671293
CVaR,Path-exp,0.03,100,0,5,5.3085886,8.101653,1802.662382972,1.052170273507299
CVaR,Path-exp,0.03,200,0,5,7.1829142,8.954189,1805.224286596,2.513026590068082
CVaR,Path-exp,0.03,400,0,5,9.7065214,12.402051,1806.854368618,3.6248448189657427
CVaR,Combinatorial,all,all,19,45,5.308765822222222,21.67147,1254.3694487064445,784.8491963667709
CVaR,Combinatorial,all,100,8,15,5.203473466666667,19.30066,1131.2978838753334,832.6976323835805
CVaR,Combinatorial,all,200,6,15,4.675335066666666,18.530847,1241.907627932,797.431546672026
CVaR,Combinatorial,all,400,5,15,6.047488933333333,21.67147,1389.902834312,755.3836083300897
CVaR,Combinatorial,0.01,all,15,15,0.032294133333333336,0.094056,206.946634208,211.63227868930264
CVaR,Combinatorial,0.01,100,5,5,0.0241446,0.091269,47.268463874,27.43423139441789
CVaR,Combinatorial,0.01,200,5,5,0.038098599999999996,0.094056,191.290378396,127.7584872536627
CVaR,Combinatorial,0.01,400,5,5,0.0346392,0.089722,382.281060354,262.8277191426577
CVaR,Combinatorial,0.02,all,4,15,5.5608098,19.30066,1686.7246175666667,317.20317388129445
CVaR,Combinatorial,0.02,100,3,5,5.59298,19.30066,1532.090511288,415.7419992448083
CVaR,Combinatorial,0.02,200,1,5,4.0041254,6.769284000000001,1675.758715334,338.1254872417481
CVaR,Combinatorial,0.02,400,0,5,7.085324,10.460046,1852.324626078,25.943813204282392
CVaR,Combinatorial,0.03,all,0,15,10.333193533333333,21.67147,1869.4370943446668,97.39174970869779
CVaR,Combinatorial,0.03,100,0,5,9.9932958,11.406967,1814.534676464,6.773623658635918
CVaR,Combinatorial,0.03,200,0,5,9.9837812,18.530847,1858.673790066,66.77452537671813
CVaR,Combinatorial,0.03,400,0,5,11.0225036,21.67147,1935.102816504,139.2504106971119
MeanCVaR,SAA,all,all,13,45,17.75905748888889,99.970645,1456.913918708,598.2023861044056
MeanCVaR,SAA,all,100,10,15,0.7746078000000001,3.213197,911.7930358293333,704.4935376147334
MeanCVaR,SAA,all,200,3,15,4.191741266666667,14.228521999999998,1658.6535743853333,374.20170089801127
MeanCVaR,SAA,all,400,0,15,48.3108234,99.970645,1800.2951459093333,0.16287571620374539
MeanCVaR,SAA,0.01,all,7,15,22.072407066666667,99.970645,1184.6904836546667,785.6104295581848
MeanCVaR,SAA,0.01,100,5,5,0.0087368,0.037898,201.51032913,125.17564941678415
MeanCVaR,SAA,0.01,200,2,5,2.7196188,5.940398,1552.23505329,541.8024462329436
MeanCVaR,SAA,0.01,400,0,5,63.488865600000004,99.970645,1800.326068544,0.17400910310674325
MeanCVaR,SAA,0.02,all,5,15,14.405423266666666,99.968696,1434.9117081326667,546.6054044160579
MeanCVaR,SAA,0.02,100,4,5,0.5635654,2.486622,880.834676764,542.9041281526496
MeanCVaR,SAA,0.02,200,1,5,5.1601346,14.228521999999998,1623.620631958,394.77005298644923
MeanCVaR,SAA,0.02,400,0,5,37.4925698,99.968696,1800.279815676,0.12485812790953256
MeanCVaR,SAA,0.03,all,1,15,16.799342133333333,54.878254999999996,1751.1395643366666,189.81095108769378
MeanCVaR,SAA,0.03,100,1,5,1.7515212,3.213197,1653.034101594,328.7131638085306
MeanCVaR,SAA,0.03,200,0,5,4.6954704,8.234967,1800.105037908,0.05777998683886773
MeanCVaR,SAA,0.03,400,0,5,43.951034799999995,54.878254999999996,1800.279553508,0.21257490614334404
MeanCVaR,Root,all,all,15,45,8.748561555555556,22.409748,1217.1858807908889,836.432046457156
MeanCVaR,Root,all,100,5,15,8.023224266666666,22.409748,1202.9596676653334,875.1380555406981
MeanCVaR,Root,all,200,5,15,8.440426066666667,19.901204,1217.8658237873333,854.4261412191798
MeanCVaR,Root,all,400,5,15,9.782034333333334,20.616288,1230.73215092,838.1387847389252
MeanCVaR,Root,0.01,all,15,15,0.08233573333333333,0.099507,48.13100995666667,48.292572940627245
MeanCVaR,Root,0.01,100,5,5,0.056555799999999996,0.09875699999999998,7.297887532,4.423530800039051
MeanCVaR,Root,0.01,200,5,5,0.0934422,0.099507,50.755473324,33.58411872361293
MeanCVaR,Root,0.01,400,5,5,0.0970092,0.09855199999999999,86.339669014,55.654979981735664
