objective,alpha,train_count,case_id,preferred_method,preferred_task_id,preferred_certified,preferred_final_gap,other_certified_methods,best_available_final_gap
CVaR,0.01,200,case00,Path-exp,worker_015_task_010,True,0.0,Combinatorial;Coverage-exp;Root;Standard,0.0
Expected,0.01,200,case00,Path-exp,worker_015_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,200,case00,Path-exp,worker_015_task_016,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
CVaR,0.01,200,case01,Path-exp,worker_016_task_010,True,0.00097005,Combinatorial;Coverage-exp;Root;Standard,0.0
Expected,0.01,200,case01,Path-exp,worker_016_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,200,case01,Path-exp,worker_016_task_016,True,0.00078401,Combinatorial;Coverage-exp;Root;Standard,0.00071662
CVaR,0.01,200,case02,Path-exp,worker_017_task_010,True,0.00080495,Combinatorial;Coverage-exp;Root;Standard,0.0
Expected,0.01,200,case02,Path-exp,worker_017_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,200,case02,Path-exp,worker_017_task_016,True,0.00074212,Combinatorial;Coverage-exp;Root;Standard,0.0
CVaR,0.01,200,case03,Path-exp,worker_018_task_010,True,0.00069543,Combinatorial;Coverage-exp;Root;Standard,0.00028034
Expected,0.01,200,case03,Path-exp,worker_018_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,200,case03,Path-exp,worker_018_task_016,True,0.00071726,Combinatorial;Coverage-exp;Root;Standard,0.00012132
CVaR,0.01,200,case04,Path-exp,worker_019_task_010,True,0.00096511,Combinatorial;Coverage-exp;Root;Standard,0.00093819
Expected,0.01,200,case04,Path-exp,worker_019_task_004,True,0.0,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
MeanCVaR,0.01,200,case04,Path-exp,worker_019_task_016,True,0.0008461,Combinatorial;Coverage-exp;Root;SAA;Standard,0.0
CVaR,0.01,400,case00,Path-exp,worker_030_task_010,True,0.00088885,Combinatorial;Coverage-exp;Root;Standard,0.00070232
Expected,0.01,400,case00,Path-exp,worker_030_task_004,True,0.00061827,Combinatorial;Coverage-exp;Root;Standard,0.0
MeanCVaR,0.01,400,case00,Path-exp,worker_030_task_016,True,0.00095247,Combinatorial;Coverage-exp;Root;Standard,0.0
CVaR,0.01,400,case01,Path-exp,worker_031_task_010,True,0.00099937,Combinatorial;Coverage-exp;Root;Standard,0.00086895
